,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City
48,48,48,48,Hays,106H18A,30613,27924.0,29.866879,-97.938705,0.096297092,Minimal Direct Wildfire Impacts,San Marcos
49,49,49,49,Hays,106H18B,19565,16379.0,29.872068,-97.939599,0.1945173698027962,Minimal Direct Wildfire Impacts,San Marcos
50,50,50,50,Hays,106H19,120768,104785.0,29.856092,-97.954086,0.152531373765329,Minimal Direct Wildfire Impacts,San Marcos
51,51,51,51,Hays,106H19B,26337,25302.0,29.855413,-97.9513,0.040905857,Minimal Direct Wildfire Impacts,San Marcos
52,52,52,52,Hays,106H19C,14682,10136.0,29.836549,-97.968756,0.4485003946329913,Minimal Direct Wildfire Impacts,San Marcos
53,53,53,53,Hays,106H19NBSR,12522,12741.0,29.85567,-97.954039,-0.017188604,Minimal Direct Wildfire Impacts,San Marcos
54,54,54,54,Hays,106H19SBSR,11145,10179.0,29.856317,-97.954371,0.094901267,Minimal Direct Wildfire Impacts,San Marcos
55,55,55,55,Hays,106H1A,120825,90784.0,29.889739,-97.915421,0.3309063271060979,Minimal Direct Wildfire Impacts,San Marcos
56,56,56,56,Hays,106H1ANBSR,20475,21982.0,29.888899,-97.915576,-0.068556091,Minimal Direct Wildfire Impacts,San Marcos
57,57,57,57,Hays,106H1ASBSR,20789,20357.0,29.890008,-97.915969,0.0212212015522915,Minimal Direct Wildfire Impacts,San Marcos
58,58,58,58,Hays,106H2,127801,99309.0,29.899,-97.906839,0.2869024962490811,Minimal Direct Wildfire Impacts,San Marcos
59,59,59,59,Hays,106H20A,31746,29661.0,29.864425,-97.961875,0.070294326,Minimal Direct Wildfire Impacts,San Marcos
60,60,60,60,Hays,106H20B,114237,102074.0,29.803038,-98.012993,0.1191586496071477,Minimal Direct Wildfire Impacts,San Marcos
61,61,61,61,Hays,106H20BNBSR,3416,299.0,29.802931,-98.01258,10.424749163879598,Minimal Direct Wildfire Impacts,San Marcos
62,62,62,62,Hays,106H20BSBSR,3521,918.0,29.803192,-98.013352,2.835511982570806,Minimal Direct Wildfire Impacts,San Marcos
63,63,63,63,Hays,106H21,6126,7713.0,29.834549,-97.992291,-0.205756515,Minimal Direct Wildfire Impacts,San Marcos
64,64,64,64,Hays,106H22,5957,4170.0,29.898978,-97.975217,0.4285371702637889,Minimal Direct Wildfire Impacts,San Marcos
65,65,65,65,Hays,106H23,8335,7579.0,29.941665,-98.095099,0.099749307,Minimal Direct Wildfire Impacts,Wimberley
66,66,66,66,Hays,106H23A,12458,13148.0,29.94058,-98.087113,-0.052479465,Minimal Direct Wildfire Impacts,Wimberley
67,67,67,67,Hays,106H23B,13025,12971.0,29.898249,-97.984587,0.004163133,Minimal Direct Wildfire Impacts,Unknown
68,68,68,68,Hays,106H23C,18077,16847.188904359562,29.879747,-97.970768,0.072998,Minimal Direct Wildfire Impacts,San Marcos
69,69,69,69,Hays,106H24,13180,11943.0,29.943754,-98.092629,0.1035753160847358,Minimal Direct Wildfire Impacts,Wimberley
70,70,70,70,Hays,106H25A,15191,15054.0,29.996951,-98.097795,0.009100571,Minimal Direct Wildfire Impacts,Wimberley
71,71,71,71,Hays,106H25B,13655,13415.0,29.994473,-98.090116,0.0178904211703317,Minimal Direct Wildfire Impacts,Wimberley
72,72,72,72,Hays,106H25C,10662,14233.0,29.994862,-98.091395,-0.250895806,Minimal Direct Wildfire Impacts,Wimberley
73,73,73,73,Hays,106H27,5600,4952.0,30.018341,-98.044688,0.1308562197092084,Minimal Direct Wildfire Impacts,Unknown
74,74,74,74,Hays,106H28,6038,5276.0,30.047472,-97.991051,0.1444275966641395,Minimal Direct Wildfire Impacts,Unknown
75,75,75,75,Hays,106H29,10858,10254.0,30.004765,-98.109416,0.0589038424029646,Minimal Direct Wildfire Impacts,Wimberley
76,76,76,76,Hays,106H2NBSR,13280,16344.0,29.898012,-97.907241,-0.187469408,Minimal Direct Wildfire Impacts,San Marcos
77,77,77,77,Hays,106H2SBSR,12623,15857.0,29.899208,-97.907204,-0.203947783,Minimal Direct Wildfire Impacts,San Marcos
78,78,78,78,Hays,106H3,113768,102465.0,29.974855,-97.874328,0.1103108378470697,Minimal Direct Wildfire Impacts,Kyle
79,79,79,79,Hays,106H30,6338,5958.0,30.019261,-98.139759,0.063779792,Minimal Direct Wildfire Impacts,Wimberley
80,80,80,80,Hays,106H31,1166,850.0,30.095954,-98.23735,0.3717647058823529,Minimal Direct Wildfire Impacts,Unknown
81,81,81,81,Hays,106H32,11106,11439.0,30.001854,-98.101806,-0.029110936,Minimal Direct Wildfire Impacts,Wimberley
82,82,82,82,Hays,106H33,9376,9531.0,30.011719,-98.104204,-0.016262722,Minimal Direct Wildfire Impacts,Wimberley
83,83,83,83,Hays,106H34,9366,8511.0,30.048436,-98.098491,0.1004582305252026,Minimal Direct Wildfire Impacts,Unknown
84,84,84,84,Hays,106H35,7977,8437.0,30.163623,-98.090587,-0.054521749,Minimal Direct Wildfire Impacts,Unknown
85,85,85,85,Hays,106H3501,127436,118766.29779365852,29.863732,-97.945395,0.072998,Minimal Direct Wildfire Impacts,San Marcos
86,86,86,86,Hays,106H3501NBSR,8729,8135.150298509411,29.863519,-97.945178,0.072998,Minimal Direct Wildfire Impacts,San Marcos
87,87,87,87,Hays,106H3501SBSR,25581,23840.678174609835,29.863855,-97.945792,0.072998,Minimal Direct Wildfire Impacts,San Marcos
88,88,88,88,Hays,106H36,14695,14996.0,30.188953,-98.087159,-0.020072019,Minimal Direct Wildfire Impacts,Dripping Springs
89,89,89,89,Hays,106H37,43012,31572.0,30.191532,-98.092387,0.3623463828708982,Minimal Direct Wildfire Impacts,Dripping Springs
90,90,90,90,Hays,106H38,41885,29171.0,30.19186,-98.095134,0.4358438174899729,Minimal Direct Wildfire Impacts,Dripping Springs
91,91,91,91,Hays,106H39,11472,11254.0,30.197529,-98.205162,0.0193708903500977,Minimal Direct Wildfire Impacts,Dripping Springs
92,92,92,92,Hays,106H3NBSR,15877,11660.0,29.974459,-97.873886,0.361663808,Minimal Direct Wildfire Impacts,Kyle
93,93,93,93,Hays,106H3SBSR,10733,9596.0,29.975694,-97.87495,0.1184868695289704,Minimal Direct Wildfire Impacts,Kyle
94,94,94,94,Hays,106H4,1247,1116.0,29.983067,-97.874556,0.1173835125448028,Minimal Direct Wildfire Impacts,Kyle
95,95,95,95,Hays,106H40,3535,2420.0,30.185987,-98.217885,0.4607438016528926,Minimal Direct Wildfire Impacts,Blanco
96,96,96,96,Hays,106H41,8392,7837.0,30.192685,-98.220512,0.070817915,Minimal Direct Wildfire Impacts,Dripping Springs
97,97,97,97,Hays,106H42,2713,2227.0,30.192356,-98.092156,0.2182308037718904,Minimal Direct Wildfire Impacts,Dripping Springs
98,98,98,98,Hays,106H43,13645,14199.0,30.20289,-98.08769,-0.039016832,Minimal Direct Wildfire Impacts,Dripping Springs
99,99,99,99,Hays,106H44,10207,9455.0,30.252062,-98.057603,0.079534638,Minimal Direct Wildfire Impacts,Unknown
100,100,100,100,Hays,106H45,3714,2988.0,30.192217,-98.086127,0.2429718875502008,Minimal Direct Wildfire Impacts,Dripping Springs
101,101,101,101,Hays,106H46,37674,30458.0,30.191628,-98.078769,0.2369164094819095,Minimal Direct Wildfire Impacts,Dripping Springs
