Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City,RISK_STATE_RANK
63,Hays,106H21,6126,7713,29.834549,-97.992291,-0.205756515,Minimal Direct Wildfire Impacts,San Marcos,0.346
64,Hays,106H22,5957,4170,29.898978,-97.975217,0.4285371702637889,Minimal Direct Wildfire Impacts,San Marcos,0.346
65,Hays,106H23,8335,7579,29.941665,-98.095099,0.099749307,Minimal Direct Wildfire Impacts,Wimberley,0.734
66,Hays,106H23A,12458,13148,29.94058,-98.087113,-0.052479465,Minimal Direct Wildfire Impacts,Wimberley,0.734
68,Hays,106H23C,18077,16847.188904359562,29.879747,-97.970768,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
69,Hays,106H24,13180,11943,29.943754,-98.092629,0.1035753160847358,Minimal Direct Wildfire Impacts,Wimberley,0.734
70,Hays,106H25A,15191,15054,29.996951,-98.097795,0.009100571,Minimal Direct Wildfire Impacts,Wimberley,0.734
71,Hays,106H25B,13655,13415,29.994473,-98.090116,0.017890421,Minimal Direct Wildfire Impacts,Wimberley,0.734
72,Hays,106H25C,10662,14233,29.994862,-98.091395,-0.250895806,Minimal Direct Wildfire Impacts,Wimberley,0.734
75,Hays,106H29,10858,10254,30.004765,-98.109416,0.058903842,Minimal Direct Wildfire Impacts,Wimberley,0.734
76,Hays,106H2NBSR,13280,16344,29.898012,-97.907241,-0.187469408,Minimal Direct Wildfire Impacts,San Marcos,0.346
77,Hays,106H2SBSR,12623,15857,29.899208,-97.907204,-0.203947783,Minimal Direct Wildfire Impacts,San Marcos,0.346
78,Hays,106H3,113768,102465,29.974855,-97.874328,0.1103108378470697,Minimal Direct Wildfire Impacts,Kyle,0.458
79,Hays,106H30,6338,5958,30.019261,-98.139759,0.063779792,Minimal Direct Wildfire Impacts,Wimberley,0.734
81,Hays,106H32,11106,11439,30.001854,-98.101806,-0.029110936,Minimal Direct Wildfire Impacts,Wimberley,0.734
82,Hays,106H33,9376,9531,30.011719,-98.104204,-0.016262722,Minimal Direct Wildfire Impacts,Wimberley,0.734
85,Hays,106H3501,127436,118766.29779365852,29.863732,-97.945395,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
86,Hays,106H3501NBSR,8729,8135.150298509411,29.863519,-97.945178,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
87,Hays,106H3501SBSR,25581,23840.678174609835,29.863855,-97.945792,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
88,Hays,106H36,14695,14996,30.188953,-98.087159,-0.020072019,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
89,Hays,106H37,43012,31572,30.191532,-98.092387,0.3623463828708982,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
90,Hays,106H38,41885,29171,30.19186,-98.095134,0.4358438174899729,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
91,Hays,106H39,11472,11254,30.197529,-98.205162,0.01937089,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
92,Hays,106H3NBSR,15877,11660,29.974459,-97.873886,0.361663808,Minimal Direct Wildfire Impacts,Kyle,0.458
93,Hays,106H3SBSR,10733,9596,29.975694,-97.87495,0.1184868695289704,Minimal Direct Wildfire Impacts,Kyle,0.458
94,Hays,106H4,1247,1116,29.983067,-97.874556,0.1173835125448028,Minimal Direct Wildfire Impacts,Kyle,0.458
96,Hays,106H41,8392,7837,30.192685,-98.220512,0.070817915,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
97,Hays,106H42,2713,2227,30.192356,-98.092156,0.2182308037718904,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
98,Hays,106H43,13645,14199,30.20289,-98.08769,-0.039016832,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
100,Hays,106H45,3714,2988,30.192217,-98.086127,0.2429718875502008,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
101,Hays,106H46,37674,30458,30.191628,-98.078769,0.2369164094819095,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
102,Hays,106H47A,7353,5359,30.160701,-98.078623,0.3720843440940474,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
105,Hays,106H5,15319,13270,29.988317,-97.873623,0.1544084400904295,Minimal Direct Wildfire Impacts,Kyle,0.458
107,Hays,106H51,19243,14057,30.09634,-97.879359,0.368926513,Minimal Direct Wildfire Impacts,Buda,0.423
109,Hays,106H52A,32517,18711,30.094471,-97.874779,0.7378547378547379,Minimal Direct Wildfire Impacts,Buda,0.423
110,Hays,106H52B,34387,33808,30.013631,-97.862044,0.017126124,Minimal Direct Wildfire Impacts,Kyle,0.458
111,Hays,106H53,15075,15812,30.099455,-97.871676,-0.046610169,Minimal Direct Wildfire Impacts,Buda,0.423
112,Hays,106H54,16489,19969,30.085048,-97.847587,-0.174270119,Minimal Direct Wildfire Impacts,Buda,0.423
113,Hays,106H56,3956,5180,30.076805,-97.850456,-0.236293436,Minimal Direct Wildfire Impacts,Buda,0.423
114,Hays,106H57,17296,13095,30.016126,-97.890112,0.3208094692630775,Minimal Direct Wildfire Impacts,Kyle,0.458
115,Hays,106H57A,9638,8921,30.007458,-97.889047,0.080372156,Minimal Direct Wildfire Impacts,Kyle,0.458
116,Hays,106H58,7119,7232,30.026948,-97.908887,-0.015625,Minimal Direct Wildfire Impacts,Kyle,0.458
118,Hays,106H6A,116120,108220.14579710308,29.997035,-97.869805,0.072998,Minimal Direct Wildfire Impacts,Kyle,0.458
119,Hays,106H6ANBSR,14221,14615,29.997741,-97.86899,-0.026958604,Minimal Direct Wildfire Impacts,Kyle,0.458
120,Hays,106H6ASBSR,26361,23887,29.997509,-97.870059,0.1035709800309792,Minimal Direct Wildfire Impacts,Kyle,0.458
121,Hays,106H7,107548,113972,30.027975,-97.850094,-0.056364721,Minimal Direct Wildfire Impacts,Kyle,0.458
122,Hays,106H7NBSR,13143,6170,30.02752,-97.849859,1.1301458670988656,Minimal Direct Wildfire Impacts,Kyle,0.458
123,Hays,106H7SBSR,27595,23875,30.028574,-97.850237,0.1558115183246073,Minimal Direct Wildfire Impacts,Kyle,0.458
124,Hays,106H8,6182,5030,30.043206,-97.844647,0.2290258449304175,Minimal Direct Wildfire Impacts,Buda,0.423
125,Hays,106HP107,3594,3358,29.897331,-97.963693,0.070279929,Minimal Direct Wildfire Impacts,San Marcos,0.346
126,Hays,106HP11,903,2932,30.08590311,-97.85129097,-0.6920191,Minimal Direct Wildfire Impacts,Buda,0.423
127,Hays,106HP110,4892,6293,29.874476,-97.95568,-0.222628317,Minimal Direct Wildfire Impacts,San Marcos,0.346
128,Hays,106HP12,2885,5209,30.05838466,-97.82679298,-0.446150893,Minimal Direct Wildfire Impacts,Buda,0.423
129,Hays,106HP129,3190,3815,29.874725,-97.928688,-0.163826999,Minimal Direct Wildfire Impacts,San Marcos,0.346
130,Hays,106HP131,3614,3868,29.881151,-97.937114,-0.065667011,Minimal Direct Wildfire Impacts,San Marcos,0.346
131,Hays,106HP132,6765,6891,29.884003,-97.93754399,-0.018284719,Minimal Direct Wildfire Impacts,San Marcos,0.346
132,Hays,106HP146,5732,5984,29.880299,-97.913498,-0.042112299,Minimal Direct Wildfire Impacts,San Marcos,0.346
133,Hays,106HP15,8072,9520,29.900215,-97.9176566,-0.15210084,Minimal Direct Wildfire Impacts,San Marcos,0.346
134,Hays,106HP1566,8722,7911,29.845282,-97.939816,0.1025154847680444,Minimal Direct Wildfire Impacts,San Marcos,0.346
135,Hays,106HP16,1190,1416,29.878407,-97.94773,-0.15960452,Minimal Direct Wildfire Impacts,San Marcos,0.346
137,Hays,106HP1660,1665,1730,30.032465,-97.828223,-0.037572254,Minimal Direct Wildfire Impacts,Kyle,0.458
138,Hays,106HP1669,6180,4905,30.027447,-97.851561,0.2599388379204893,Minimal Direct Wildfire Impacts,Kyle,0.458
139,Hays,106HP18,1608,1498.6048436250585,29.851892,-97.955878,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
140,Hays,106HP217,1713,1803,29.875465,-97.94954,-0.049916805,Minimal Direct Wildfire Impacts,San Marcos,0.346
142,Hays,106HP3,17806,16128,29.892333,-97.944106,0.1040426587301587,Minimal Direct Wildfire Impacts,San Marcos,0.346
143,Hays,106HP3A,21704,25166,29.889197,-97.934583,-0.137566558,Minimal Direct Wildfire Impacts,San Marcos,0.346
145,Hays,106HP6,2761,2477,29.943499,-97.876198,0.1146548243843358,Minimal Direct Wildfire Impacts,San Marcos,0.346
146,Hays,106HP72A,2613,2301,29.833103,-97.944001,0.13559322,Minimal Direct Wildfire Impacts,San Marcos,0.346
148,Hays,106HP8023,995,1286,29.87733499,-97.95758499,-0.226283048,Minimal Direct Wildfire Impacts,San Marcos,0.346
149,Hays,106HP8024,398,379,29.883387,-97.947927,0.050131926,Minimal Direct Wildfire Impacts,San Marcos,0.346
150,Hays,106HP8038,2884,2687.796249387231,29.89002599,-97.948743,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
152,Hays,106HP88,3275,1954,30.057636,-97.828791,0.6760491299897646,Minimal Direct Wildfire Impacts,Kyle,0.458
153,Hays,106SP276,136818,123597,30.065403,-97.830818,0.1069686157431005,Minimal Direct Wildfire Impacts,Buda,0.423
154,Hays,106SP276NBSR,12647,15002,30.065072,-97.830432,-0.156979069,Minimal Direct Wildfire Impacts,Buda,0.423
155,Hays,106SP276SBSR,9808,8388,30.065114,-97.831398,0.1692894611349547,Minimal Direct Wildfire Impacts,Buda,0.423
156,Hays,106T12,15104,12884,29.880789,-97.940428,0.1723067370381868,Minimal Direct Wildfire Impacts,San Marcos,0.346
157,Hays,106T12NBDR,6688,5665,29.880841,-97.939766,0.1805825242718446,Minimal Direct Wildfire Impacts,San Marcos,0.346
158,Hays,106T12SBDR,8416,7219,29.880715,-97.941058,0.1658124393960382,Minimal Direct Wildfire Impacts,San Marcos,0.346
159,Hays,106T13,21554,23902,29.883291,-97.93952,-0.098234457,Minimal Direct Wildfire Impacts,San Marcos,0.346
160,Hays,106T21,10798,8904,29.882565,-97.946465,0.2127133872416891,Minimal Direct Wildfire Impacts,San Marcos,0.346
161,Hays,106T22,11426,9510,29.883851,-97.940927,0.201472135,Minimal Direct Wildfire Impacts,San Marcos,0.346
162,Hays,106T22NBDR,5556,4332,29.883892,-97.940249,0.2825484764542936,Minimal Direct Wildfire Impacts,San Marcos,0.346
163,Hays,106T22SBDR,5870,5178,29.883773,-97.941572,0.1336423329470838,Minimal Direct Wildfire Impacts,San Marcos,0.346
164,Hays,106T23,1339,699,29.9889,-97.873986,0.915593705,Minimal Direct Wildfire Impacts,Kyle,0.458
165,Hays,106T24,16252,13908,29.988465,-97.874999,0.1685360943341961,Minimal Direct Wildfire Impacts,Kyle,0.458
166,Hays,106T25,13452,10367,29.989569,-97.882805,0.297578856,Minimal Direct Wildfire Impacts,Kyle,0.458
167,Hays,106T27,8609,8798,30.081202,-97.84329,-0.021482155,Minimal Direct Wildfire Impacts,Buda,0.423
168,Hays,106T28,6953,9918,30.07832,-97.844803,-0.298951401,Minimal Direct Wildfire Impacts,Buda,0.423
169,Hays,106T29,19419,17950,30.081912,-97.843355,0.08183844,Minimal Direct Wildfire Impacts,Buda,0.423
170,Hays,106T31,7817,7776,29.999878,-98.10209,0.005272634,Minimal Direct Wildfire Impacts,Wimberley,0.734
171,Hays,106T32,3444,2602,30.192758,-98.090189,0.3235972328977709,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
172,Hays,106T33A,12774,13635,30.19358,-98.087413,-0.063146315,Minimal Direct Wildfire Impacts,Dripping Springs,0.66
173,Hays,106T4,11508,9713,29.88557,-97.93976,0.1848038711005868,Minimal Direct Wildfire Impacts,San Marcos,0.346
174,Hays,106T6,144823,133231,29.874713,-97.932014,0.087006778,Minimal Direct Wildfire Impacts,San Marcos,0.346
175,Hays,106T6NBSR,7463,8633,29.874388,-97.931683,-0.135526468,Minimal Direct Wildfire Impacts,San Marcos,0.346
176,Hays,106T6SBSR,7761,8494,29.874889,-97.93219,-0.086296209,Minimal Direct Wildfire Impacts,San Marcos,0.346
177,Hays,106T7,4484,4532,29.864678,-97.938315,-0.01059135,Minimal Direct Wildfire Impacts,San Marcos,0.346
178,Hays,106T8A,23591,20144,29.86362,-97.938885,0.1711179507545671,Minimal Direct Wildfire Impacts,San Marcos,0.346
179,Hays,106T9,15298,14672,29.87494,-97.940075,0.042666303,Minimal Direct Wildfire Impacts,San Marcos,0.346
182,Hays,106U133,1142,1064.307668793418,29.881196,-97.931737,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
183,Hays,106U1637,1776,1655.1754989291687,30.01379,-97.890017,0.072998,Minimal Direct Wildfire Impacts,Kyle,0.458
184,Hays,106U1640,5413,3725,29.825298,-97.91983,0.4531543624161074,Minimal Direct Wildfire Impacts,San Marcos,0.346
185,Hays,106U1645,1274,1187.327469389505,29.955887,-97.878599,0.072998,Minimal Direct Wildfire Impacts,Kyle,0.458
186,Hays,106U1780,20639,19234.891397747248,29.987883,-97.871233,0.072998,Minimal Direct Wildfire Impacts,Kyle,0.458
187,Bastrop,11A7101,36010,36079.74214155963,30.10513,-97.297761,-0.001933,Minimal Direct Wildfire Impacts,Bastrop,0.251
190,Bastrop,11D12,50324,46490,30.111009,-97.365651,0.082469348,Minimal Direct Wildfire Impacts,Bastrop,0.251
191,Bastrop,11D12AWBSR,2293,900,30.111182,-97.375299,1.5477777777777777,Minimal Direct Wildfire Impacts,Bastrop,0.251
192,Bastrop,11D12EBSR,8007,5370,30.110717,-97.365922,0.4910614525139665,Minimal Direct Wildfire Impacts,Bastrop,0.251
193,Bastrop,11D12WBSR,9678,6462,30.111304,-97.365477,0.4976787372330548,Minimal Direct Wildfire Impacts,Bastrop,0.251
196,Bastrop,11D15,8,162,30.108908,-97.282333,-0.950617284,Minimal Direct Wildfire Impacts,Bastrop,0.251
198,Bastrop,11D2,9929,5112,30.407541,-97.374152,0.9422926447574336,Minimal Direct Wildfire Impacts,Elgin,0.284
200,Bastrop,11D3AWBSR,2549,1989,30.105372,-97.311892,0.2815485168426345,Minimal Direct Wildfire Impacts,Bastrop,0.251
206,Bastrop,11D75WBSR,9314,6663,30.11192811,-97.4135609,0.3978688278553204,Minimal Direct Wildfire Impacts,Bastrop,0.251
208,Bastrop,11H1,19816,17471,30.110945,-97.299053,0.1342224257340736,Minimal Direct Wildfire Impacts,Bastrop,0.251
210,Bastrop,11H100,12911,12289,30.331408,-97.361842,0.050614371,Minimal Direct Wildfire Impacts,Elgin,0.284
211,Bastrop,11H101,11487,11110,30.320572,-97.357129,0.033933393,Minimal Direct Wildfire Impacts,Elgin,0.284
212,Bastrop,11H102,27543,19587,30.333664,-97.357178,0.4061877776075969,Minimal Direct Wildfire Impacts,Elgin,0.284
213,Bastrop,11H103,21597,16687,30.311784,-97.306537,0.294241026,Minimal Direct Wildfire Impacts,Elgin,0.284
234,Bastrop,11H2,256,367,30.11061,-97.291886,-0.302452316,Minimal Direct Wildfire Impacts,Bastrop,0.251
241,Bastrop,11H25,3990,3292,30.036975,-97.162496,0.2120291616038882,Minimal Direct Wildfire Impacts,Smithville,0.339
242,Bastrop,11H26,3655,7423,30.015228,-97.161027,-0.507611478,Minimal Direct Wildfire Impacts,Smithville,0.339
243,Bastrop,11H26A,15840,17161,30.017975,-97.147955,-0.076976866,Minimal Direct Wildfire Impacts,Smithville,0.339
244,Bastrop,11H27,22519,21378,30.048485,-97.187623,0.053372626,Minimal Direct Wildfire Impacts,Smithville,0.339
245,Bastrop,11H28,27289,22553,30.101638,-97.281516,0.2099942358001152,Minimal Direct Wildfire Impacts,Bastrop,0.251
246,Bastrop,11H28EBSR,1927,2172,30.101329,-97.281594,-0.112799263,Minimal Direct Wildfire Impacts,Bastrop,0.251
247,Bastrop,11H28WBSR,2019,2077,30.101902,-97.281436,-0.027924892,Minimal Direct Wildfire Impacts,Bastrop,0.251
248,Bastrop,11H29,7912,7232,30.104716,-97.285716,0.094026549,Minimal Direct Wildfire Impacts,Bastrop,0.251
249,Bastrop,11H3,144,184,30.108429,-97.283675,-0.217391304,Minimal Direct Wildfire Impacts,Bastrop,0.251
250,Bastrop,11H30,39026,22044,30.102964,-97.286329,0.7703683542006895,Minimal Direct Wildfire Impacts,Bastrop,0.251
251,Bastrop,11H30EBSR,4990,4867,30.102677,-97.286419,0.025272242,Minimal Direct Wildfire Impacts,Bastrop,0.251
252,Bastrop,11H30WBSR,5623,5367,30.103196,-97.286173,0.047698901,Minimal Direct Wildfire Impacts,Bastrop,0.251
253,Bastrop,11H31,31898,27447,30.106089,-97.307457,0.1621670856559915,Minimal Direct Wildfire Impacts,Bastrop,0.251
254,Bastrop,11H33,19759,18791,30.109169,-97.324793,0.051514023,Minimal Direct Wildfire Impacts,Bastrop,0.251
255,Bastrop,11H34,9606,8324,30.10609,-97.328748,0.1540124939932724,Minimal Direct Wildfire Impacts,Bastrop,0.251
256,Bastrop,11H35,49089,38334,30.105524,-97.330375,0.2805603380810768,Minimal Direct Wildfire Impacts,Bastrop,0.251
257,Bastrop,11H35EBSR,10837,12620,30.105243,-97.33046,-0.141283677,Minimal Direct Wildfire Impacts,Bastrop,0.251
258,Bastrop,11H35WBSR,9255,12641,30.105805,-97.330245,-0.267858555,Minimal Direct Wildfire Impacts,Bastrop,0.251
259,Bastrop,11H36,13839,10471,30.108623,-97.350763,0.3216502721803075,Minimal Direct Wildfire Impacts,Bastrop,0.251
260,Bastrop,11H37,4849,4242,30.043956,-97.330597,0.143092881,Minimal Direct Wildfire Impacts,Bastrop,0.251
263,Bastrop,11H4,142,46,30.110343,-97.282138,2.0869565217391304,Minimal Direct Wildfire Impacts,Bastrop,0.251
266,Bastrop,11H42,3463,2974,30.002024,-97.144462,0.1644250168123739,Minimal Direct Wildfire Impacts,Smithville,0.339
267,Bastrop,11H43,1507,1379,29.996099,-97.130525,0.092820885,Minimal Direct Wildfire Impacts,Smithville,0.339
269,Bastrop,11H44,4716,5758,30.000848,-97.166791,-0.180965613,Minimal Direct Wildfire Impacts,Smithville,0.339
271,Bastrop,11H46,2308,2250,29.996126,-97.167662,0.025777778,Minimal Direct Wildfire Impacts,Smithville,0.339
272,Bastrop,11H47,1559,1371,29.952014,-97.177746,0.137126185,Minimal Direct Wildfire Impacts,Smithville,0.339
303,Bastrop,11H7102,52530,52631.73715,30.111158,-97.351927,-0.001933,Minimal Direct Wildfire Impacts,Bastrop,0.251
304,Bastrop,11H7102EBSR,8232,8247.943274349316,30.110842,-97.351957,-0.001933,Minimal Direct Wildfire Impacts,Bastrop,0.251
305,Bastrop,11H7102WBSR,10366,10386.076285459794,30.111437,-97.352021,-0.001933,Minimal Direct Wildfire Impacts,Bastrop,0.251
306,Bastrop,11H7103,34119,34185.079759174485,30.104791,-97.322357,-0.001933,Minimal Direct Wildfire Impacts,Bastrop,0.251
307,Bastrop,11H72,8195,7244,30.103973,-97.376373,0.1312810601877415,Minimal Direct Wildfire Impacts,Bastrop,0.251
308,Bastrop,11H74,10897,1634,30.117881,-97.365027,5.668910649,Minimal Direct Wildfire Impacts,Bastrop,0.251
309,Bastrop,11H75,54508,50191,30.110552,-97.40831,0.086011436,Minimal Direct Wildfire Impacts,Bastrop,0.251
317,Bastrop,11H82,6766,3623,30.158817,-97.38848,0.8675131106817554,Minimal Direct Wildfire Impacts,Bastrop,0.251
321,Bastrop,11H86,6723,3980,30.316039,-97.378962,0.6891959798994974,Minimal Direct Wildfire Impacts,Elgin,0.284
322,Bastrop,11H87,7131,4581,30.333999,-97.367741,0.5566470203012442,Minimal Direct Wildfire Impacts,Elgin,0.284
323,Bastrop,11H88,42765,32657,30.345803,-97.381399,0.3095201641302018,Minimal Direct Wildfire Impacts,Elgin,0.284
324,Bastrop,11H89,35375,29960,30.351962,-97.389909,0.1807409879839786,Minimal Direct Wildfire Impacts,Elgin,0.284
326,Bastrop,11H90,16018,13185,30.35432,-97.384574,0.2148653773227152,Minimal Direct Wildfire Impacts,Elgin,0.284
327,Bastrop,11H91,5735,6726,30.356127,-97.384981,-0.147338686,Minimal Direct Wildfire Impacts,Elgin,0.284
328,Bastrop,11H92,4535,4314,30.35607,-97.381341,0.051228558,Minimal Direct Wildfire Impacts,Elgin,0.284
329,Bastrop,11H93,10189,8133,30.357133,-97.382763,0.2527972457887618,Minimal Direct Wildfire Impacts,Elgin,0.284
330,Bastrop,11H94,11263,8225,30.367873,-97.372861,0.3693617021276595,Minimal Direct Wildfire Impacts,Elgin,0.284
331,Bastrop,11H95,2946,2145,30.362754,-97.37466,0.3734265734265734,Minimal Direct Wildfire Impacts,Elgin,0.284
332,Bastrop,11H96,3454,2987,30.351536,-97.364054,0.1563441580180783,Minimal Direct Wildfire Impacts,Elgin,0.284
335,Bastrop,11H99,35523,27679,30.335232,-97.362633,0.2833917410311066,Minimal Direct Wildfire Impacts,Elgin,0.284
