CNTY_NM,City,LATITUDE,LONGITUDE,Wildfire_Risk,RISK_STATE_RANK_Scaled,AADT_RPT_QTY_Scaled,5Yr_Growth_Scaled,Gridlock_Risk_Score
Hays,Austin,30.210039,-97.97049,0,0.5192604006163327,0.2006228271943368,0.1383640651137918,0.2055481478157051
Hays,Buda,30.08481869,-97.8205031,0,0.5208012326656394,0.0288307023348142,0.14349372754317,0.15585757549652315
Hays,Kyle,30.00795497,-97.86313676,0,0.5747303543913713,0.0973364422178109,0.131696272521925,0.18365588530019503
Hays,San Marcos,29.8770525,-97.9062685,0,0.4021571648690292,0.0330003886105597,0.1659809947773973,0.14012584799019293
Hays,Kyle,30.01008,-97.862877,0,0.5747303543913713,0.092300259423806,0.1583696856140683,0.19014705438963658
Hays,Kyle,29.950038,-97.878592,0,0.5747303543913713,0.0388715589585237,0.2913903728919415,0.21402465043341382
Hays,Kyle,29.95210762,-97.87946025,0,0.5747303543913713,0.0544947537574439,0.4755615718114577,0.27396296854894475
Hays,Austin,30.179413,-97.928753,0,0.5192604006163327,0.0902994401907342,0.2527470433650609,0.2067660251900051
Hays,Kyle,29.985773,-97.87226,0,0.5747303543913713,0.0477255779269202,0.1818275775777865,0.1838120175296863
Hays,Kyle,29.985856,-97.873478,0,0.5747303543913713,0.033578052956066,0.2030997426669294,0.18594940956517286
Hays,Buda,30.083214,-97.822397,0,0.5208012326656394,0.086975244457048,0.2814717140273454,0.2146943340784459
Hays,San Marcos,29.88496603,-97.92080355,0,0.4021571648690292,0.0488651521357826,0.1583696856140683,0.1426018842987611
Hays,San Marcos,29.88474883,-97.91896435,0,0.4021571648690292,0.0413240066799004,0.1583696856140683,0.14033954066199644
Hays,Buda,30.127634,-98.006039,0,0.5208012326656394,0.0332629633130625,0.2062355433755422,0.17600979853970927
Hays,San Marcos,29.816946,-97.943554,0,0.4021571648690292,0.0966379935091533,0.3277608384803873,0.20775108257066802
Hays,San Marcos,29.819362,-98.010383,0,0.4021571648690292,0.0290145046265662,0.1397203232637579,0.13105188134090306
Hays,San Marcos,29.862116,-97.964741,0,0.4021571648690292,0.1090525254434886,0.189827249910499,0.1700953655800021
Hays,Wimberley,29.933737,-98.141726,0,1.0,0.0335675499679658,0.1639911451261597,0.25926760852823766
Hays,Wimberley,30.004252,-98.082169,1,1.0,0.0404890191259413,0.1739116199824251,0.46432019173250993
Hays,San Marcos,29.926113,-97.89112,1,0.4021571648690292,0.6657634096900568,0.1810492776017082,0.5344752391613353
Hays,San Marcos,29.925078,-97.890999,1,0.4021571648690292,0.0160800747812752,0.1847635799301693,0.3406845293872392
Hays,San Marcos,29.926938,-97.891216,1,0.4021571648690292,0.0268981525243931,0.1657712026707554,0.33823223953235043
Hays,Wimberley,29.998712,-98.087238,1,1.0,0.0446114419552362,0.1668860223695627,0.4634492392974397
Hays,Dripping Springs,30.206782,-97.9771,1,0.8859784283513097,0.1681003245423323,0.1122980713154352,0.4613152044275922
Hays,San Marcos,29.892949,-97.915206,0,0.4021571648690292,0.1802155213158143,0.2119829297065981,0.19809096828052955
Hays,Buda,30.075619,-97.821637,0,0.5208012326656394,0.0332367058428122,0.0,0.11413125828597155
Hays,Kyle,29.978191,-97.865735,1,0.5747303543913713,0.108537879026583,0.1272994610338787,0.3856972728964128
Hays,Kyle,30.034898,-97.887825,1,0.5747303543913713,0.0426946466269653,0.1583696856140683,0.3752653705505844
Hays,San Marcos,29.881949,-97.919015,1,0.4021571648690292,0.2021930239153039,0.1459067028148693,0.38486135099285784
Hays,San Marcos,29.884023,-97.92355,1,0.4021571648690292,0.0918591339236012,0.0785146665462667,0.33154357311476623
Hays,San Marcos,29.880054,-97.899392,1,0.4021571648690292,0.0740303116236569,0.1896047404403954,0.3595219485930215
Hays,San Marcos,29.889906,-97.885673,0,0.4021571648690292,0.0670090640787304,0.2024612096639802,0.161272515096619
Hays,San Marcos,29.838332,-97.941399,0,0.4021571648690292,0.1216666141517261,0.1583696856140683,0.16444232290354416
Hays,San Marcos,29.858494,-97.933945,0,0.4021571648690292,0.0193780130447112,0.0575165985338825,0.10349981644738394
Hays,San Marcos,29.851861,-97.940084,0,0.4021571648690292,0.1307674533404753,0.2509781732325067,0.19495512094570044
Hays,San Marcos,29.866879,-97.938705,0,0.4021571648690292,0.1607219754020019,0.1648907699220297,0.17811525657101532
Hays,San Marcos,29.872068,-97.939599,0,0.4021571648690292,0.1027034691369694,0.1923812280181404,0.16895684212033876
Hays,San Marcos,29.856092,-97.954086,0,0.4021571648690292,0.6341704214849124,0.1806299452478183,0.32487154299362503
Hays,San Marcos,29.855413,-97.9513,0,0.4021571648690292,0.1382665868439571,0.1493875514550996,0.16672767446352285
Hays,San Marcos,29.836549,-97.968756,0,0.4021571648690292,0.0770604236905399,0.2634674625249943,0.1825897988384661
Hays,San Marcos,29.85567,-97.954039,0,0.4021571648690292,0.0657171965424163,0.1331277384972994,0.14008491348572055
Hays,San Marcos,29.856317,-97.954371,0,0.4021571648690292,0.0584858892354875,0.1645000983669253,0.14732722925452968
Hays,San Marcos,29.889739,-97.915421,0,0.4021571648690292,0.6344697566457657,0.2305545563714419,0.33993872687896814
Hays,San Marcos,29.888899,-97.915576,0,0.4021571648690292,0.1074823287225215,0.1187507098381949,0.14830134454202076
Hays,San Marcos,29.890008,-97.915969,0,0.4021571648690292,0.1091312978542395,0.1438780966305023,0.15633425131922837
Hays,San Marcos,29.899,-97.906839,0,0.4021571648690292,0.671104179138965,0.2182385102829557,0.34723423980038204
Hays,San Marcos,29.864425,-97.961875,0,0.4021571648690292,0.1666719181607167,0.1576129657343732,0.17771689814233282
Hays,San Marcos,29.803038,-98.012993,0,0.4021571648690292,0.5998729138439886,0.1712893945794853,0.31178012550084794
Hays,San Marcos,29.802931,-98.01258,0,0.4021571648690292,0.017897091722595,1.0,0.3858005604905843
Hays,San Marcos,29.803192,-98.013352,0,0.4021571648690292,0.018448498597851,0.9315580391458936,0.3654333942969292
Hays,San Marcos,29.834549,-97.992291,0,0.4021571648690292,0.0321286405982502,0.0803502635035457,0.11417510420434461
Hays,San Marcos,29.898978,-97.975217,0,0.4021571648690292,0.0312411381037905,0.2578800400979607,0.1671677864343312
Hays,Wimberley,29.941665,-98.095099,0,1.0,0.0437291909548266,0.1658569957759904,0.2628758560192451
Hays,Wimberley,29.94058,-98.087113,0,1.0,0.0653811009232126,0.123250328687443,0.2565894288831967
Hays,San Marcos,29.879747,-97.970768,0,0.4021571648690292,0.0948892459904842,0.1583696856140683,0.15640911245517158
Hays,Wimberley,29.943754,-98.092629,0,1.0,0.0691726796273539,0.1669278412752308,0.2708301562707754
Hays,Wimberley,29.996951,-98.097795,0,1.0,0.0797334341620191,0.1404857044884957,0.26606574159515445
Hays,Wimberley,29.994473,-98.090116,0,1.0,0.0716671393011311,0.1429458584251527,0.26438389931788514
Hays,Wimberley,29.994862,-98.091395,0,1.0,0.0559494176093098,0.0677164182784784,0.23709975076633646
Hays,Wimberley,30.004765,-98.109416,0,1.0,0.056978710443121,0.1544249313477763,0.2634210925372692
Hays,San Marcos,29.898012,-97.907241,0,0.4021571648690292,0.0696978290323597,0.0854685645298566,0.12698135104247074
Hays,San Marcos,29.899208,-97.907204,0,0.4021571648690292,0.0662475974414721,0.0808565018523409,0.12456266276194974
Hays,Kyle,29.974855,-97.874328,0,0.5747303543913713,0.5974099631345118,0.1688130179709702,0.34481296520991883
Hays,Wimberley,30.019261,-98.139759,0,1.0,0.0332419573368623,0.155789640368686,0.2567094793116645
Hays,Wimberley,30.001854,-98.101806,0,1.0,0.0582810809675352,0.1297908474236256,0.25642157851734826
Hays,Wimberley,30.011719,-98.104204,0,1.0,0.0491959962609362,0.1333868796939274,0.2547748627864591
Hays,San Marcos,29.863732,-97.945395,0,0.4021571648690292,0.6691873838106941,0.1583696856140683,0.3286985538012345
Hays,San Marcos,29.863519,-97.945178,0,0.4021571648690292,0.0457982796105492,0.1583696856140683,0.1416818225411911
Hays,San Marcos,29.863855,-97.945792,0,0.4021571648690292,0.1342964573421138,0.1583696856140683,0.16823127586066045
Hays,Dripping Springs,30.188953,-98.087159,0,0.8859784283513097,0.0771286931131907,0.1323207116693938,0.24003050710503732
Hays,Dripping Springs,30.191532,-98.092387,0,0.8859784283513097,0.2258352501286616,0.2393541805923889,0.3167525148865771
Hays,Dripping Springs,30.19186,-98.095134,0,0.8859784283513097,0.2199168163342471,0.2599250666839958,0.3211482505757348
Hays,Dripping Springs,30.197529,-98.205162,0,0.8859784283513097,0.0602031277898562,0.1433602206313848,0.23826469019663424
Hays,Kyle,29.974459,-97.873886,0,0.5747303543913713,0.0833359590803583,0.23916313759897,0.21169579988207277
Hays,Kyle,29.975694,-97.87495,0,0.5747303543913713,0.0563222736868639,0.1711013728949406,0.1831731648528156
Hays,Kyle,29.983067,-97.874556,0,0.5747303543913713,0.0065066011280209,0.1707925589756885,0.16813581890938709
Hays,Dripping Springs,30.192685,-98.220512,0,0.8859784283513097,0.0440285261156799,0.1577595108448746,0.23773209675842832
Hays,Dripping Springs,30.192356,-98.092156,0,0.8859784283513097,0.0142052914054048,0.1990182807472227,0.2411627573160502
Hays,Dripping Springs,30.20289,-98.08769,0,0.8859784283513097,0.0716146243606306,0.1270183280927479,0.2367855714062755
Hays,Dripping Springs,30.192217,-98.086127,0,0.8859784283513097,0.0194620369495121,0.2059429580345907,0.24481718416549278
Hays,Dripping Springs,30.191628,-98.078769,0,0.8859784283513097,0.197802774889456,0.2042481158918867,0.29781095290466475
Hays,Dripping Springs,30.160701,-98.078623,0,0.8859784283513097,0.0385722237976704,0.2420796973689146,0.26139126202023744
Hays,Kyle,29.988317,-97.873623,0,0.5747303543913713,0.0804056254004264,0.1811553093361401,0.19341435129924422
Hays,Buda,30.09634,-97.879359,0,0.5208012326656394,0.101012488052851,0.241195865381188,0.20682275256333957
Hays,Buda,30.094471,-97.874779,0,0.5208012326656394,0.1707208200733108,0.3444536257207024,0.2587125802713318
Hays,Kyle,30.013631,-97.862044,0,0.5747303543913713,0.1805411139469179,0.1427319425706927,0.21192798783355746
Hays,Buda,30.099455,-97.871676,0,0.5208012326656394,0.0791242608522124,0.1248930611185772,0.16536544312436477
Hays,Buda,30.085048,-97.847587,0,0.5208012326656394,0.0865498734389934,0.0891628576969099,0.15687406587389888
Hays,Buda,30.076805,-97.850456,0,0.5208012326656394,0.0207328985096259,0.0718034138517842,0.1319211402415509
Hays,Kyle,30.016126,-97.890112,0,0.5747303543913713,0.0907878291373895,0.2277285895380633,0.2105009964809101
Hays,Kyle,30.007458,-97.889047,0,0.5747303543913713,0.0505718877020512,0.160433606945254,0.17824771927246583
Hays,Kyle,30.026948,-97.908887,0,0.5747303543913713,0.037343374189957,0.133565369007032,0.16621869383737098
Hays,Kyle,29.997035,-97.869805,0,0.5747303543913713,0.6097614771402464,0.1583696856140683,0.3453854197045687
Hays,Kyle,29.997741,-97.86899,0,0.5747303543913713,0.0746394849334635,0.1303932545230406,0.1764558927152255
Hays,Kyle,29.997509,-97.870059,0,0.5747303543913713,0.1383926227011584,0.1669266276754858,0.20654184599126751
Hays,Kyle,30.027975,-97.850094,0,0.5747303543913713,0.5647456701431557,0.1221629008196955,0.3210186421671296
Hays,Kyle,30.02752,-97.849859,0,0.5747303543913713,0.0689783743475018,0.4542503305479271,0.2719146823469029
Hays,Kyle,30.028574,-97.850237,0,0.5747303543913713,0.1448729663589291,0.1815480109682783,0.21287236407643648
Hays,Buda,30.043206,-97.844647,0,0.5208012326656394,0.0324227242650534,0.2020396591555602,0.17449896155931197
Hays,San Marcos,29.897331,-97.963693,0,0.4021571648690292,0.0188318576635052,0.1576089362189406,0.13336367113853959
Hays,Buda,30.08590311,-97.85129097,0,0.5208012326656394,0.0047000871748012,0.0,0.10557027268556825
Hays,San Marcos,29.874476,-97.95568,0,0.4021571648690292,0.0256482969404795,0.0756280862071415,0.11081434791809214
Hays,Buda,30.05838466,-97.82679298,0,0.5208012326656394,0.0151085483820146,0.013067297879909,0.11261300041170497
Hays,San Marcos,29.874725,-97.928688,0,0.4021571648690292,0.0167102540672821,0.0920857383807648,0.11307023070821991
Hays,San Marcos,29.881151,-97.937114,0,0.4021571648690292,0.0189368875445064,0.1195593222189883,0.12198029590285425
Hays,San Marcos,29.884003,-97.93754399,0,0.4021571648690292,0.0354843452962367,0.1328209515063634,0.13092302201458586
Hays,San Marcos,29.880299,-97.913498,0,0.4021571648690292,0.0300595519425276,0.1261519509275127,0.12729488383481793
Hays,San Marcos,29.900215,-97.9176566,0,0.4021571648690292,0.0423480480196616,0.0953677234232532,0.12174616440668028
Hays,San Marcos,29.845282,-97.939816,0,0.4021571648690292,0.0457615191521988,0.1666312095709411,0.14414925159074782
Hays,San Marcos,29.878407,-97.94773,0,0.4021571648690292,0.0062072659671676,0.093267550167576,0.11027387781422893
Hays,Kyle,30.032465,-97.828223,0,0.5747303543913713,0.0087017256409448,0.1274226449188039,0.15578338204619888
